Trail,P,V,Usafe,Pos,Loss,ChooseGamble,Judge,RT,Choice,session,seq,id
1,0.5,20,10,2,10,0,2,21.530592270322,1,2,0,101
2,0.5,40,20,1,20,0,2,6.4324728012955,0,2,0,101
3,0.6,50,30,2,20,0,1,1.28317472174072,0,2,0,101
4,0.6,50,30,2,20,0,2,1.4828976028647,1,2,0,101
5,0.5,20,10,1,10,0,1,1.81622998585895,1,2,0,101
6,0.5,40,20,1,20,0,2,3.06614787656236,0,2,0,101
1,0.5,20,10,1,10,0,2,3.64922480841164,0,2,1,101
2,0.6,50,30,2,20,0,1,2.64947113630143,0,2,1,101
3,0.6,50,30,2,20,0,1,1.79969266034121,0,2,1,101
4,0.5,40,20,1,20,0,2,1.54972316622571,0,2,1,101
5,0.5,40,20,2,20,0,1,1.21656326977466,0,2,1,101
6,0.5,20,10,1,10,0,2,0.766384796095247,0,2,1,101
1,0.5,40,20,1,20,0,2,1.44980470531886,0,2,2,101
2,0.5,40,20,1,20,0,2,1.69963991652222,0,2,2,101
3,0.6,50,30,2,20,0,1,1.53301677538546,0,2,2,101
4,0.5,20,10,1,10,0,2,0.783292753854575,0,2,2,101
5,0.6,50,30,2,20,0,1,1.16655842304534,0,2,2,101
6,0.5,20,10,2,10,0,1,0.799785033299881,0,2,2,101
1,0.5,40,20,2,20,1,1,2.24975167639814,0,4,0,101
2,0.5,20,10,1,10,1,2,1.19954725846182,0,4,0,101
3,0.6,50,30,1,20,1,2,1.16654559346775,0,4,0,101
4,0.5,20,10,2,10,1,1,0.516484011495302,0,4,0,101
5,0.5,40,20,2,20,1,1,1.28308462959584,0,4,0,101
6,0.6,50,30,1,20,1,2,1.133182704589,0,4,0,101
1,0.5,40,20,2,20,1,2,1.76642642094699,1,4,1,101
2,0.5,20,10,1,10,1,2,1.68285626311468,0,4,1,101
3,0.6,50,30,2,20,1,2,1.76649227944531,1,4,1,101
4,0.5,20,10,1,10,1,1,0.783221763525226,1,4,1,101
5,0.5,40,20,1,20,1,1,1.14975766353435,1,4,1,101
6,0.6,50,30,2,20,1,2,0.916290142322781,1,4,1,101
1,0.6,50,30,1,20,1,1,2.4493933035307,1,4,2,101
2,0.5,20,10,2,10,1,2,1.09994069884135,1,4,2,101
3,0.5,40,20,2,20,1,2,1.39972402153088,1,4,2,101
4,0.5,40,20,1,20,1,1,1.21643668460907,1,4,2,101
5,0.6,50,30,1,20,1,1,0.8830806381717,1,4,2,101
6,0.5,20,10,2,10,1,2,1.06634573715902,1,4,2,101
1,0.5,20,10,1,10,1,1,4.349190311103,1,2,0,102
2,0.6,50,30,2,20,1,2,1.63315362421312,1,2,0,102
3,0.5,40,20,2,20,1,2,4.49931461545479,1,2,0,102
4,0.5,20,10,1,10,1,1,6.2490272329167,1,2,0,102
5,0.5,40,20,1,20,1,1,3.83288391798194,1,2,0,102
6,0.6,50,30,2,20,1,2,1.31640589362284,1,2,0,102
1,0.5,40,20,1,20,1,1,1.86627332132105,1,2,1,102
2,0.6,50,30,1,20,1,1,1.79970491971535,1,2,1,102
3,0.5,20,10,2,10,1,2,1.46648771781772,1,2,1,102
4,0.5,20,10,2,10,1,2,1.78285227169054,1,2,1,102
5,0.5,40,20,1,20,1,1,2.11625650031931,1,2,1,102
6,0.6,50,30,2,20,1,2,1.01649912188669,1,2,1,102
