ID,Risk,Seq,Domain,Distance,pre_1,pre_2,pre_3,Contagion
101,1,1,1,0.25,0.5,1,1,0.375
102,1,2,1,0.25,0,1,1,0.107142857
104,1,2,1,0.25,0,0.666666667,1,0.107142857
105,1,1,1,0.285714286,0.333333333,1,1,0.089285714
106,1,2,1,0.142857143,0.666666667,0.833333333,1,0.071428571
107,1,1,1,0.214285714,0.333333333,0.833333333,1,0.232142857
108,1,2,1,0.035714286,0.833333333,1,1,0.035714286
109,1,1,1,0.107142857,0.833333333,1,1,0.160714286
110,1,2,1,0.25,0.666666667,1,1,0.071428571
112,1,2,1,0.142857143,1,1,1,0
113,1,1,1,0.107142857,1,1,1,0.035714286
114,1,2,1,0.196428571,1,1,1,0
115,1,1,1,0.232142857,1,1,1,0.071428571
116,1,2,1,0,0.666666667,1,1,0.035714286
117,1,1,1,0.071428571,1,1,1,0
118,1,2,1,0.392857143,0.333333333,1,1,0.160714286
119,1,1,1,0.357142857,0.666666667,1,1,0.267857143
120,1,2,1,0.285714286,0,1,0.666666667,0.089285714
121,1,1,1,0.178571429,1,1,1,0.053571429
122,1,2,1,0.035714286,0,1,0.833333333,0
101,2,1,1,0.642857143,0,0.833333333,1,0.017857143
102,2,2,1,0.25,1,1,1,0.053571429
104,2,2,1,0.446428571,0.333333333,1,1,0.160714286
105,2,1,1,0.321428571,0,1,1,0.107142857
106,2,2,1,0.357142857,0,0.5,0.833333333,-0.017857143
107,2,1,1,0.732142857,0,0.333333333,0.666666667,0.339285714
108,2,2,1,0.464285714,0,1,1,-0.053571429
109,2,1,1,0.625,0,1,0.666666667,0.053571429
110,2,2,1,0.446428571,0,1,1,0.089285714
112,2,2,1,0.464285714,0,1,1,0.017857143
113,2,1,1,0.285714286,0.666666667,1,1,0.071428571
114,2,2,1,0.357142857,0,1,1,0
115,2,1,1,0.375,0,1,1,0.071428571
116,2,2,1,0.446428571,0,1,1,0.107142857
117,2,1,1,0.464285714,0,1,1,0.107142857
118,2,2,1,0.321428571,0.333333333,1,1,0
119,2,1,1,0.482142857,0,1,1,0.125
120,2,2,1,0.142857143,0.666666667,1,1,0.053571429
121,2,1,1,0.357142857,0,1,1,0.053571429
122,2,2,1,0.642857143,0,1,1,0.178571429
201,1,1,2,0.321428571,0.833333333,1,1,0.339285714
202,1,2,2,0.25,0.333333333,1,1,0.035714286
203,1,1,2,0.214285714,0.5,1,0.833333333,0.214285714
204,1,2,2,0.285714286,0,1,1,-0.017857143
205,1,1,2,0.285714286,1,1,1,0.035714286
206,1,2,2,0.446428571,0,1,1,0.285714286
207,1,1,2,0.607142857,0,0.833333333,1,0.285714286
208,1,2,2,0.178571429,0,1,1,0.142857143
209,1,1,2,0.071428571,0.666666667,1,1,0.160714286
210,1,2,2,0.464285714,0.333333333,0.5,1,0.178571429
211,1,1,2,0.375,0.5,1,0.833333333,0.267857143
213,1,1,2,0.214285714,0.666666667,0.833333333,0.666666667,0.25
215,1,1,2,0.285714286,1,0.666666667,0.833333333,0.214285714
216,1,2,2,0.214285714,0.5,1,1,0.125
217,1,1,2,0.285714286,0.666666667,1,1,0.142857143
218,1,2,2,0.392857143,0,1,1,0.267857143
219,1,1,2,0.25,0.666666667,1,1,0.071428571
220,1,2,2,0.285714286,0,1,1,0
221,1,1,2,0.410714286,0.166666667,1,0.833333333,0.232142857
222,1,2,2,0.535714286,0,1,1,-0.053571429
223,1,1,2,0.357142857,1,1,1,0.160714286
201,2,1,2,0.660714286,0,1,1,0.035714286
202,2,2,2,0.303571429,0.333333333,1,1,0.017857143
203,2,1,2,0.5,0,1,0.833333333,0.160714286
204,2,2,2,0.25,0.833333333,1,1,-0.053571429
205,2,1,2,0.285714286,0,1,1,0.017857143
206,2,2,2,0.214285714,0.333333333,1,1,0.125
207,2,1,2,0.267857143,0,1,1,0.035714286
208,2,2,2,0.464285714,0.166666667,1,1,0.125
209,2,1,2,0.428571429,0,1,1,-0.178571429
210,2,2,2,0.232142857,0.666666667,0.666666667,0.666666667,0.107142857
211,2,1,2,0.375,0,1,0.833333333,0.142857143
213,2,1,2,0.642857143,0.166666667,1,1,0.035714286
215,2,1,2,0.392857143,0.5,1,1,0.125
216,2,2,2,0.446428571,0.166666667,0.833333333,1,0.071428571
217,2,1,2,0.446428571,0,1,1,0.125
218,2,2,2,0.321428571,1,1,1,0.142857143
219,2,1,2,0.428571429,0.166666667,0.833333333,1,0.089285714
220,2,2,2,0.232142857,1,1,1,-0.035714286
221,2,1,2,0.446428571,0.166666667,0.833333333,0.833333333,-0.017857143
222,2,2,2,0.321428571,0.666666667,1,1,0.267857143
223,2,1,2,0.214285714,0,0.833333333,1,-0.071428571
