subject,prefer1,prefer2,similar1,similar2,Preference,suspect
101,3,6,5,2,4,4
102,4,3,4,3,4,5
104,5,4,2,5,4,4
105,2,5,2,5,5,5
106,5,2,2,5,4,5
107,4,4,4,4,5,5
108,2,5,2,5,3,3
109,2,6,5,1,2,2
110,5,2,2,4,4,3
111,3,5,4,1,2,3
112,5,2,1,5,3,5
113,2,5,4,3,4,2
114,5,2,2,5,3,3
115,3,5,5,2,3,3
116,5,3,2,5,4,5
117,3,5,5,2,3,6
118,5,2,2,4,3,4
119,2,5,5,2,4,3
120,5,3,5,3,5,4
121,1,5,6,2,2,5
122,5,2,3,5,3,5
201,2,5,4,2,3,5
202,5,2,2,4,4,3
203,3,5,5,2,3,3
204,5,2,4,3,4,3
205,3,5,2,4,4,3
206,5,2,5,3,4,5
207,1,5,1,5,4,6
208,5,2,2,5,3,3
209,3,6,5,2,3,3
210,5,2,5,2,4,3
211,3,6,2,5,4,4
212,5,3,1,4,2,2
213,2,5,5,2,2,3
214,5,2,1,5,2,6
215,2,5,4,3,3,5
216,5,2,2,5,3,4
217,3,5,4,2,3,4
218,5,3,2,5,4,5
219,3,6,3,4,4,5
220,5,2,4,3,4,6
221,2,5,1,4,4,4
222,5,2,6,1,5,5
223,3,5,4,2,4,5
